candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population,poll_id,poll_type,nb_people,start_date,end_date,folder,pdf_url,id,institut,commanditaire,mention1,mention2,mention3,mention4,mention5,mention6,mention7,nombre_mentions,question,name,surname,parti,annonce_candidature,retrait_candidature,second_round,candidate
MP,2,9,12,50,27.0,,,pt2,macron,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Mathilde,Panot,La France Insoumise,,,,Mathilde Panot
AOC,2,25,23,18,32.0,,,pt2,macron,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Amélie,Oudéa-Castéra,,,,,Amélie Oudéa-Castéra
EP,25,53,12,4,6.0,,,pt2,macron,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Edouard,Philippe,Horizons,,,,Edouard Philippe
JB,8,14,12,56,10.0,,,pt2,macron,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Jordan,Bardella,Rassemblement National,,,,Jordan Bardella
MLP,7,17,17,55,4.0,,,pt2,macron,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Marine,Le Pen,Rassemblement National,,,,Marine Le Pen
RG,8,31,22,18,21.0,,,pt2,macron,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Raphaël,Glucksmann,,,,,Raphaël Glucksmann
FH,6,24,30,31,9.0,,,pt2,macron,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",François,Hollande,Parti Socialiste,,,,François Hollande
FR,5,15,29,22,29.0,,,pt2,macron,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",François,Ruffin,La France Insoumise,,,,François Ruffin
NS,11,24,28,25,12.0,,,pt2,macron,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Nicolas,Sarkozy,Les Républicains,,,,Nicolas Sarkozy
FRo,2,24,29,19,26.0,,,pt2,macron,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Fabien,Roussel,Parti Communiste Français,,,,Fabien Roussel
GD,13,51,17,6,13.0,,,pt2,macron,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Gérald,Darmanin,,,,,Gérald Darmanin
DV,5,29,31,13,22.0,,,pt2,macron,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Dominique,de Villepin,,,,,Dominique de Villepin
XB,7,36,30,7,20.0,,,pt2,macron,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Xavier,Bertrand,Les Républicains,,,,Xavier Bertrand
OF,6,17,25,23,29.0,,,pt2,macron,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Olivier,Faure,Parti Socialiste,,,,Olivier Faure
RD,6,39,31,13,11.0,,,pt2,macron,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Rachida,Dati,Les Républicains,,,,Rachida Dati
EC,6,12,18,50,14.0,,,pt2,macron,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Eric,Ciotti,Les Républicains,,,,Eric Ciotti
BC,8,51,15,5,21.0,,,pt2,macron,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Bernard,Cazeneuve,Parti Socialiste,,,,Bernard Cazeneuve
